original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed,token_to_text,no_topic,label_aspek,sentimen,,,,Jumlah,Positif,Negatif,
"Acaranya sangat menarik, semoga ke depannya dapat terlaksana dengan lebih baik lagi		",Acaranya sangat menarik semoga ke depannya dapat terlaksana dengan lebih baik lagi,acaranya sangat menarik semoga ke depannya dapat terlaksana dengan lebih baik lagi,"['acaranya', 'sangat', 'menarik', 'semoga', 'ke', 'depannya', 'dapat', 'terlaksana', 'dengan', 'lebih', 'baik', 'lagi']","['acara', 'sangat', 'seru', 'semoga', 'ke', 'depan', 'dapat', 'terlaksana', 'dengan', 'lebih', 'baik', 'lagi']","['acara', 'seru', 'semoga', 'depan', 'terlaksana', 'baik']",acara seru semoga depan terlaksana baik,3,Harapan Acara,Positif,,,,,,,
"Acara berjalan dengan baik		",Acara berjalan dengan baik,acara berjalan dengan baik,"['acara', 'berjalan', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Ditingkatkan lebih baik lagi		",Ditingkatkan lebih baik lagi,ditingkatkan lebih baik lagi,"['ditingkatkan', 'lebih', 'baik', 'lagi']","['ditingkatkan', 'lebih', 'baik', 'lagi']","['ditingkatkan', 'baik']",ditingkatkan baik,3,Harapan Acara,Positif,,,,,,,
"Hari ini kegiatan berjalan dengan lancar dan tidak ada masalah dalam zoom.		",Hari ini kegiatan berjalan dengan lancar dan tidak ada masalah dalam zoom,hari ini kegiatan berjalan dengan lancar dan tidak ada masalah dalam zoom,"['hari', 'ini', 'kegiatan', 'berjalan', 'dengan', 'lancar', 'dan', 'tidak', 'ada', 'masalah', 'dalam', 'zoom']","['hari', 'ini', 'acara', 'terlaksana', 'dengan', 'sukses', 'dan', 'tidak', 'ada', 'kendala', 'dalam', 'zoom']","['hari', 'acara', 'terlaksana', 'sukses', 'kendala', 'zoom']",hari acara terlaksana sukses kendala zoom,1,Kesuksesan Acara,Positif,,,,,,,
"sudah bagus acara terlaksana dengan lancar		",sudah bagus acara terlaksana dengan lancar,sudah bagus acara terlaksana dengan lancar,"['sudah', 'bagus', 'acara', 'terlaksana', 'dengan', 'lancar']","['sudah', 'keren', 'acara', 'terlaksana', 'dengan', 'sukses']","['keren', 'acara', 'terlaksana', 'sukses']",keren acara terlaksana sukses,3,Harapan Acara,Positif,,,,,,,
"acaranya sudah bagus dan lebih dikembangkan lagi #respect		",acaranya sudah bagus dan lebih dikembangkan lagi,acaranya sudah bagus dan lebih dikembangkan lagi,"['acaranya', 'sudah', 'bagus', 'dan', 'lebih', 'dikembangkan', 'lagi']","['acara', 'sudah', 'keren', 'dan', 'lebih', 'ditingkatkan', 'lagi']","['acara', 'keren', 'ditingkatkan']",acara keren ditingkatkan,2,Materi dan Narasumber,Positif,,,,,,,
"Kegiatan FKBMIK berjalan dengan baik, narasumber membawa materi yang seru dan sangat relatable dengan masa-masa sekarang.		",Kegiatan FKBMIK berjalan dengan baik narasumber membawa materi yang seru dan sangat relatable dengan masamasa sekarang,kegiatan fkbmik berjalan dengan baik narasumber membawa materi yang seru dan sangat relatable dengan masamasa sekarang,"['kegiatan', 'fkbmik', 'berjalan', 'dengan', 'baik', 'narasumber', 'membawa', 'materi', 'yang', 'seru', 'dan', 'sangat', 'relatable', 'dengan', 'masamasa', 'sekarang']","['acara', 'fkbmik', 'terlaksana', 'dengan', 'baik', 'narasumber', 'membawa', 'materi', 'yang', 'seru', 'dan', 'sangat', 'relevan', 'dengan', 'kendala', 'sekarang']","['acara', 'fkbmik', 'terlaksana', 'baik', 'narasumber', 'membawa', 'materi', 'seru', 'relevan', 'kendala', 'sekarang']",acara fkbmik terlaksana baik narasumber membawa materi seru relevan kendala sekarang,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Kegiatan ini sudah baik karena bisa mendapatkan ilmu baru dan pengalaman baru.		",Kegiatan ini sudah baik karena bisa mendapatkan ilmu baru dan pengalaman baru,kegiatan ini sudah baik karena bisa mendapatkan ilmu baru dan pengalaman baru,"['kegiatan', 'ini', 'sudah', 'baik', 'karena', 'bisa', 'mendapatkan', 'ilmu', 'baru', 'dan', 'pengalaman', 'baru']","['acara', 'ini', 'sudah', 'baik', 'karena', 'bisa', 'dapat', 'pengalaman', 'inovatif', 'dan', 'pengalaman', 'inovatif']","['acara', 'baik', 'pengalaman', 'inovatif', 'pengalaman', 'inovatif']",acara baik pengalaman inovatif pengalaman inovatif,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Semoga kegiatan seperti ini tetap terlaksana		",Semoga kegiatan seperti ini tetap terlaksana,semoga kegiatan seperti ini tetap terlaksana,"['semoga', 'kegiatan', 'seperti', 'ini', 'tetap', 'terlaksana']","['semoga', 'acara', 'seperti', 'ini', 'tetap', 'terlaksana']","['semoga', 'acara', 'tetap', 'terlaksana']",semoga acara tetap terlaksana,3,Harapan Acara,Positif,,,,,,,
"Semoga Webinar FKBMIK ini semakin baik kedepannya dan semakin seru		",Semoga Webinar FKBMIK ini semakin baik kedepannya dan semakin seru,semoga webinar fkbmik ini semakin baik kedepannya dan semakin seru,"['semoga', 'webinar', 'fkbmik', 'ini', 'semakin', 'baik', 'kedepannya', 'dan', 'semakin', 'seru']","['semoga', 'seminar', 'fkbmik', 'ini', 'semakin', 'baik', 'ke depannya', 'dan', 'semakin', 'seru']","['semoga', 'seminar', 'fkbmik', 'semakin', 'baik', 'ke depannya', 'semakin', 'seru']",semoga seminar fkbmik semakin baik ke depannya semakin seru,3,Harapan Acara,Positif,,,,,,,
"Acaranya sudah sangat bagus dan bermanfaat.		",Acaranya sudah sangat bagus dan bermanfaat,acaranya sudah sangat bagus dan bermanfaat,"['acaranya', 'sudah', 'sangat', 'bagus', 'dan', 'bermanfaat']","['acara', 'sudah', 'sangat', 'keren', 'dan', 'bermanfaat']","['acara', 'keren', 'bermanfaat']",acara keren bermanfaat,1,Kesuksesan Acara,Positif,,,,,,,
"Acara sangat bermanfaat		",Acara sangat bermanfaat,acara sangat bermanfaat,"['acara', 'sangat', 'bermanfaat']","['acara', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']",acara bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Acaranya sangat bagus, menarik, dan ilmunya sangat bermanfaat.		",Acaranya sangat bagus menarik dan ilmunya sangat bermanfaat,acaranya sangat bagus menarik dan ilmunya sangat bermanfaat,"['acaranya', 'sangat', 'bagus', 'menarik', 'dan', 'ilmunya', 'sangat', 'bermanfaat']","['acara', 'sangat', 'keren', 'seru', 'dan', 'pengalaman', 'sangat', 'bermanfaat']","['acara', 'keren', 'seru', 'pengalaman', 'bermanfaat']",acara keren seru pengalaman bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"sudah baguss materi dapat dipahami dengan baik		",sudah baguss materi dapat dipahami dengan baik,sudah baguss materi dapat dipahami dengan baik,"['sudah', 'baguss', 'materi', 'dapat', 'dipahami', 'dengan', 'baik']","['sudah', 'keren', 'materi', 'dapat', 'paham', 'dengan', 'baik']","['keren', 'materi', 'paham', 'baik']",keren materi paham baik,2,Materi dan Narasumber,Positif,,,,,,,
"Semoga bisa mengadakan kegiatan bermanfaat seperti ini lagi		",Semoga bisa mengadakan kegiatan bermanfaat seperti ini lagi,semoga bisa mengadakan kegiatan bermanfaat seperti ini lagi,"['semoga', 'bisa', 'mengadakan', 'kegiatan', 'bermanfaat', 'seperti', 'ini', 'lagi']","['semoga', 'bisa', 'mengadakan', 'acara', 'bermanfaat', 'seperti', 'ini', 'lagi']","['semoga', 'mengadakan', 'acara', 'bermanfaat']",semoga mengadakan acara bermanfaat,3,Harapan Acara,Positif,,,,,,,
"tidak ada, narasumbernya cukup informatif		",tidak ada narasumbernya cukup informatif,tidak ada narasumbernya cukup informatif,"['tidak', 'ada', 'narasumbernya', 'cukup', 'informatif']","['tidak', 'ada', 'narasumber', 'cukup', 'informatif']","['narasumber', 'cukup', 'informatif']",narasumber cukup informatif,2,Materi dan Narasumber,Positif,,,,,,,
"Kegiatan sudah berjalan dengan baik.		",Kegiatan sudah berjalan dengan baik,kegiatan sudah berjalan dengan baik,"['kegiatan', 'sudah', 'berjalan', 'dengan', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Kegiatan terlaksana dengan baik		",Kegiatan terlaksana dengan baik,kegiatan terlaksana dengan baik,"['kegiatan', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"banyak peserta yang kurang tertib.		",banyak peserta yang kurang tertib,banyak peserta yang kurang tertib,"['banyak', 'peserta', 'yang', 'kurang', 'tertib']","['banyak', 'peserta', 'yang', 'kurang', 'tertib']","['banyak', 'peserta', 'tertib']",banyak peserta tertib,4,Antusiasme Peserta,Negatif,,,,,,,
"Semoga terlaksana dengan baik untuk kedepannya		",Semoga terlaksana dengan baik untuk kedepannya,semoga terlaksana dengan baik untuk kedepannya,"['semoga', 'terlaksana', 'dengan', 'baik', 'untuk', 'kedepannya']","['semoga', 'terlaksana', 'dengan', 'baik', 'untuk', 'ke depannya']","['semoga', 'terlaksana', 'baik', 'ke depannya']",semoga terlaksana baik ke depannya,3,Harapan Acara,Positif,,,,,,,
"Semoga lebih tertib lagi kedepannya.		",Semoga lebih tertib lagi kedepannya,semoga lebih tertib lagi kedepannya,"['semoga', 'lebih', 'tertib', 'lagi', 'kedepannya']","['semoga', 'lebih', 'tertib', 'lagi', 'ke depannya']","['semoga', 'tertib', 'ke depannya']",semoga tertib ke depannya,3,Harapan Acara,Negatif,,,,,,,
"Kegiatan sudah berjalan dengan sangat baik		",Kegiatan sudah berjalan dengan sangat baik,kegiatan sudah berjalan dengan sangat baik,"['kegiatan', 'sudah', 'berjalan', 'dengan', 'sangat', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'sangat', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"suara bocor di tengah webinar		",suara bocor di tengah webinar,suara bocor di tengah webinar,"['suara', 'bocor', 'di', 'tengah', 'webinar']","['suara', 'bocor', 'di', 'tengah', 'seminar']","['suara', 'bocor', 'tengah', 'seminar']",suara bocor tengah seminar,5,Teknis dan Jaringan,Negatif,,,,,,,
"salah satu pemateri menyebutkan hal-hal internal yang seharusnya tidak disebutkan pada webinar bertaraf nasional		",salah satu pemateri menyebutkan halhal internal yang seharusnya tidak disebutkan pada webinar bertaraf nasional,salah satu pemateri menyebutkan halhal internal yang seharusnya tidak disebutkan pada webinar bertaraf nasional,"['salah', 'satu', 'pemateri', 'menyebutkan', 'halhal', 'internal', 'yang', 'seharusnya', 'tidak', 'disebutkan', 'pada', 'webinar', 'bertaraf', 'nasional']","['salah', 'satu', 'narasumber', 'sebut', 'hal', 'internal', 'yang', 'seharusnya', 'tidak', 'disebutkan', 'pada', 'seminar', 'taraf', 'nasional']","['salah', 'satu', 'narasumber', 'sebut', 'internal', 'disebutkan', 'seminar', 'taraf', 'nasional']",salah satu narasumber sebut internal disebutkan seminar taraf nasional,2,Materi dan Narasumber,Negatif,,,,,,,
"Saya merasa webinar ini sudah berjalan dengan sangat baik		",Saya merasa webinar ini sudah berjalan dengan sangat baik,saya merasa webinar ini sudah berjalan dengan sangat baik,"['saya', 'merasa', 'webinar', 'ini', 'sudah', 'berjalan', 'dengan', 'sangat', 'baik']","['saya', 'merasa', 'seminar', 'ini', 'sudah', 'terlaksana', 'dengan', 'sangat', 'baik']","['merasa', 'seminar', 'terlaksana', 'baik']",merasa seminar terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Acara sudah sangat baik		",Acara sudah sangat baik,acara sudah sangat baik,"['acara', 'sudah', 'sangat', 'baik']","['acara', 'sudah', 'sangat', 'baik']","['acara', 'baik']",acara baik,1,Kesuksesan Acara,Positif,,,,,,,
"materi yang dibawakan selalu menarik, tetap dipertahankan		",materi yang dibawakan selalu menarik tetap dipertahankan,materi yang dibawakan selalu menarik tetap dipertahankan,"['materi', 'yang', 'dibawakan', 'selalu', 'menarik', 'tetap', 'dipertahankan']","['materi', 'yang', 'disampaikan', 'selalu', 'seru', 'tetap', 'dipertahankan']","['materi', 'disampaikan', 'selalu', 'seru', 'tetap', 'dipertahankan']",materi disampaikan selalu seru tetap dipertahankan,2,Materi dan Narasumber,Positif,,,,,,,
"Saya harap kedepannya lebih interaktif atau lebih seru lagi, tampilan zoomnya juga lebih baik lagi.		",Saya harap kedepannya lebih interaktif atau lebih seru lagi tampilan zoomnya juga lebih baik lagi,saya harap kedepannya lebih interaktif atau lebih seru lagi tampilan zoomnya juga lebih baik lagi,"['saya', 'harap', 'kedepannya', 'lebih', 'interaktif', 'atau', 'lebih', 'seru', 'lagi', 'tampilan', 'zoomnya', 'juga', 'lebih', 'baik', 'lagi']","['saya', 'harap', 'ke depannya', 'lebih', 'interaksi', 'atau', 'lebih', 'seru', 'lagi', 'tampilan', 'zoom', 'juga', 'lebih', 'baik', 'lagi']","['harap', 'ke depannya', 'interaksi', 'seru', 'tampilan', 'zoom', 'baik']",harap ke depannya interaksi seru tampilan zoom baik,3,Harapan Acara,Negatif,,,,,,,
"untuk slot zoom tidak memenuhi, dengan peminat yang ingin mengikut webinar, saran mungkin bisa menggunakan live youtube untuk peserta yang tidak bisa mengikuti webinar di Zoom		",untuk slot zoom tidak memenuhi dengan peminat yang ingin mengikut webinar saran mungkin bisa menggunakan live youtube untuk peserta yang tidak bisa mengikuti webinar di Zoom,untuk slot zoom tidak memenuhi dengan peminat yang ingin mengikut webinar saran mungkin bisa menggunakan live youtube untuk peserta yang tidak bisa mengikuti webinar di zoom,"['untuk', 'slot', 'zoom', 'tidak', 'memenuhi', 'dengan', 'peminat', 'yang', 'ingin', 'mengikut', 'webinar', 'saran', 'mungkin', 'bisa', 'menggunakan', 'live', 'youtube', 'untuk', 'peserta', 'yang', 'tidak', 'bisa', 'mengikuti', 'webinar', 'di', 'zoom']","['untuk', 'slot', 'zoom', 'tidak', 'memenuhi', 'dengan', 'peserta', 'yang', 'ingin', 'ikut', 'seminar', 'usulan', 'mungkin', 'bisa', 'menggunakan', 'langsung', 'youtube', 'untuk', 'peserta', 'yang', 'tidak', 'bisa', 'ikut', 'seminar', 'di', 'zoom']","['slot', 'zoom', 'memenuhi', 'peserta', 'ikut', 'seminar', 'usulan', 'mungkin', 'menggunakan', 'langsung', 'youtube', 'peserta', 'ikut', 'seminar', 'zoom']",slot zoom memenuhi peserta ikut seminar usulan mungkin menggunakan langsung youtube peserta ikut seminar zoom,5,Teknis dan Jaringan,Negatif,,,,,,,
"Kegiatannya sudah berjalan dengan cukup baik		",Kegiatannya sudah berjalan dengan cukup baik,kegiatannya sudah berjalan dengan cukup baik,"['kegiatannya', 'sudah', 'berjalan', 'dengan', 'cukup', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'cukup', 'baik']","['acara', 'terlaksana', 'cukup', 'baik']",acara terlaksana cukup baik,1,Kesuksesan Acara,Positif,,,,,,,
"kedepannya mohon seluruh peserta harap bisa bergabung ke zoom.		",kedepannya mohon seluruh peserta harap bisa bergabung ke zoom,kedepannya mohon seluruh peserta harap bisa bergabung ke zoom,"['kedepannya', 'mohon', 'seluruh', 'peserta', 'harap', 'bisa', 'bergabung', 'ke', 'zoom']","['ke depannya', 'mohon', 'seluruh', 'peserta', 'harap', 'bisa', 'gabung', 'ke', 'zoom']","['ke depannya', 'mohon', 'seluruh', 'peserta', 'harap', 'gabung', 'zoom']",ke depannya mohon seluruh peserta harap gabung zoom,3,Harapan Acara,Positif,,,,,,,
"Bagus acaranya		",Bagus acaranya,bagus acaranya,"['bagus', 'acaranya']","['keren', 'acara']","['keren', 'acara']",keren acara,1,Kesuksesan Acara,Positif,,,,,,,
"Kegiatan berjalan dengan baik		",Kegiatan berjalan dengan baik,kegiatan berjalan dengan baik,"['kegiatan', 'berjalan', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"kegiatan sudah terlaksana sangat bagus		",kegiatan sudah terlaksana sangat bagus,kegiatan sudah terlaksana sangat bagus,"['kegiatan', 'sudah', 'terlaksana', 'sangat', 'bagus']","['acara', 'sudah', 'terlaksana', 'sangat', 'keren']","['acara', 'terlaksana', 'keren']",acara terlaksana keren,1,Kesuksesan Acara,Positif,,,,,,,
"Sejauh ini baik dan menyenangkan		",Sejauh ini baik dan menyenangkan,sejauh ini baik dan menyenangkan,"['sejauh', 'ini', 'baik', 'dan', 'menyenangkan']","['sejauh', 'ini', 'baik', 'dan', 'senang']","['sejauh', 'baik', 'senang']",sejauh baik senang,1,Kesuksesan Acara,Positif,,,,,,,
"Sarannya semoga bisa mengadakan event seperti ini lagi.		",Sarannya semoga bisa mengadakan event seperti ini lagi,sarannya semoga bisa mengadakan event seperti ini lagi,"['sarannya', 'semoga', 'bisa', 'mengadakan', 'event', 'seperti', 'ini', 'lagi']","['usulan', 'semoga', 'bisa', 'mengadakan', 'acara', 'seperti', 'ini', 'lagi']","['usulan', 'semoga', 'mengadakan', 'acara']",usulan semoga mengadakan acara,3,Harapan Acara,Negatif,,,,,,,
"ditingkatkan materi yang diberikan.		",ditingkatkan materi yang diberikan,ditingkatkan materi yang diberikan,"['ditingkatkan', 'materi', 'yang', 'diberikan']","['ditingkatkan', 'materi', 'yang', 'diberikan']","['ditingkatkan', 'materi', 'diberikan']",ditingkatkan materi diberikan,2,Materi dan Narasumber,Positif,,,,,,,
"ditingkatkan kualitas zoom		",ditingkatkan kualitas zoom,ditingkatkan kualitas zoom,"['ditingkatkan', 'kualitas', 'zoom']","['ditingkatkan', 'kualitas', 'zoom']","['ditingkatkan', 'kualitas', 'zoom']",ditingkatkan kualitas zoom,5,Teknis dan Jaringan,Positif,,,,,,,
"Kegiatan telah terselenggara dengan baik dan dengan persiapan yang matang		",Kegiatan telah terselenggara dengan baik dan dengan persiapan yang matang,kegiatan telah terselenggara dengan baik dan dengan persiapan yang matang,"['kegiatan', 'telah', 'terselenggara', 'dengan', 'baik', 'dan', 'dengan', 'persiapan', 'yang', 'matang']","['acara', 'telah', 'terselenggara', 'dengan', 'baik', 'dan', 'dengan', 'persiapan', 'yang', 'matang']","['acara', 'terselenggara', 'baik', 'persiapan', 'matang']",acara terselenggara baik persiapan matang,1,Kesuksesan Acara,Positif,,,,,,,
"Waktunya mungkin bisa pagi karena otak masih fresh		",Waktunya mungkin bisa pagi karena otak masih fresh,waktunya mungkin bisa pagi karena otak masih fresh,"['waktunya', 'mungkin', 'bisa', 'pagi', 'karena', 'otak', 'masih', 'fresh']","['waktu', 'mungkin', 'bisa', 'waktu', 'karena', 'otak', 'masih', 'segar']","['waktu', 'mungkin', 'waktu', 'otak', 'segar']",waktu mungkin waktu otak segar,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Terima kasih kepada panitia pelaksana acara webinar FKBMIK dan Progate		",Terima kasih kepada panitia pelaksana acara webinar FKBMIK dan Progate,terima kasih kepada panitia pelaksana acara webinar fkbmik dan progate,"['terima', 'kasih', 'kepada', 'panitia', 'pelaksana', 'acara', 'webinar', 'fkbmik', 'dan', 'progate']","['terima', 'kasih', 'kepada', 'penyelenggara', 'penyelenggara', 'acara', 'seminar', 'fkbmik', 'dan', 'sponsor']","['terima', 'kasih', 'penyelenggara', 'penyelenggara', 'acara', 'seminar', 'fkbmik', 'sponsor']",terima kasih penyelenggara penyelenggara acara seminar fkbmik sponsor,1,Kesuksesan Acara,Positif,,,,,,,
"Terkadang suara dari pembicara kurang terdengar jelas		",Terkadang suara dari pembicara kurang terdengar jelas,terkadang suara dari pembicara kurang terdengar jelas,"['terkadang', 'suara', 'dari', 'pembicara', 'kurang', 'terdengar', 'jelas']","['terkadang', 'suara', 'dari', 'narasumber', 'kurang', 'dengar', 'jelas']","['terkadang', 'suara', 'narasumber', 'dengar', 'jelas']",terkadang suara narasumber dengar jelas,5,Teknis dan Jaringan,Negatif,,,,,,,
"Acaranya baguss dan berjalan lancar, zoom tidak ada kendala.		",Acaranya baguss dan berjalan lancar zoom tidak ada kendala,acaranya baguss dan berjalan lancar zoom tidak ada kendala,"['acaranya', 'baguss', 'dan', 'berjalan', 'lancar', 'zoom', 'tidak', 'ada', 'kendala']","['acara', 'keren', 'dan', 'terlaksana', 'sukses', 'zoom', 'tidak', 'ada', 'kendala']","['acara', 'keren', 'terlaksana', 'sukses', 'zoom', 'kendala']",acara keren terlaksana sukses zoom kendala,1,Kesuksesan Acara,Positif,,,,,,,
"webinar dengan topik yang menarik		",webinar dengan topik yang menarik,webinar dengan topik yang menarik,"['webinar', 'dengan', 'topik', 'yang', 'menarik']","['seminar', 'dengan', 'tema', 'yang', 'seru']","['seminar', 'tema', 'seru']",seminar tema seru,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Sudah sangat menarik acara ini mudah di pahami		",Sudah sangat menarik acara ini mudah di pahami,sudah sangat menarik acara ini mudah di pahami,"['sudah', 'sangat', 'menarik', 'acara', 'ini', 'mudah', 'di', 'pahami']","['sudah', 'sangat', 'seru', 'acara', 'ini', 'mudah', 'di', 'paham']","['seru', 'acara', 'mudah', 'paham']",seru acara mudah paham,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Informasi sangat bermanfaat, mudah dimengerti.		",Informasi sangat bermanfaat mudah dimengerti,informasi sangat bermanfaat mudah dimengerti,"['informasi', 'sangat', 'bermanfaat', 'mudah', 'dimengerti']","['penyampaian', 'sangat', 'bermanfaat', 'mudah', 'mengerti']","['penyampaian', 'bermanfaat', 'mudah', 'mengerti']",penyampaian bermanfaat mudah mengerti,7,Manfaat dan Evaluasi,Positif,,,,,,,
